Key,Date,mmdd,DayOfTheWeek,Area,Distance,Timestamp,Tip,OrderAmount,TipPercent,Housing,GenderOfTipper,Cash/Credit_Tip,Cash/Credit_Order,GenderOfDeliverer,PersonWhoDelivered,Area(text),Latitude,Longitude,month
1,42196,711,Saturday,6,2.2,0.736111111,5.06,19.94,0.253761284,House,Female,Cash,Cash,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
2,42293,1016,Friday,9,1,0.736111111,4.17,20.83,0.200192031,House,Male,Cash,Cash,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
3,42232,816,Sunday,2,3,0.734722222,2,15.27,0.130975769,Apartment,Male,Cash,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
4,42265,918,Friday,6,1.8,0.734722222,3,27.63,0.108577633,House,Female,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
5,42204,719,Sunday,6,1.3,0.734027778,3.5,32.13,0.108932462,Apartment,Male,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
6,42244,828,Friday,3,3.1,0.734027778,0,37.85,0,Apartment,Male,-,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Aug
7,42245,829,Saturday,7,3.2,0.734027778,5,28.04,0.17831669,House,Male,Cash,Credit,Male,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
8,42274,927,Sunday,2,2.8,0.734027778,2,20,0.1,House,Female,Cash,Cash,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
9,42211,726,Sunday,1,2.3,0.733333333,1.73,15.27,0.113294041,House,Male,Cash,Cash,Male,Angel,North End,43.633105,-116.208304,Jul
10,42231,815,Saturday,3,2.5,0.733333333,1.82,17.18,0.105937136,Apartment,Female,Cash,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Aug
11,42254,907,Monday,8,7.8,0.733333333,4,27.35,0.146252285,House,Male,Credit,Credit,Female,Sammie,Hidden Springs,43.723879,-116.255046,Sep
12,42231,815,Saturday,3,2,0.732638889,1.5,17,0.088235294,Apartment,Female,Credit,Credit,Male,Angel,Garden City,43.633857,-116.24628,Aug
13,42246,830,Sunday,3,2.7,0.732638889,0.05,18.9,0.002645503,Apartment,Male,-,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Aug
14,42252,905,Saturday,1,2.5,0.732638889,2,15.18,0.131752306,House,Male,Cash,Credit,Male,Angel,North End,43.633105,-116.208304,Sep
15,42253,906,Sunday,5,0.8,0.732638889,3,21.43,0.139990667,Apartment,Male,Credit,Credit,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
16,42261,914,Monday,1,3.4,0.732638889,3,24.46,0.122649223,House,Female,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Sep
17,42302,1025,Sunday,4,2.6,0.732638889,3,23.14,0.129645635,Apartment,Male,Credit,Credit,Male,Angel,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Oct
18,42309,1101,Sunday,5,1.8,0.732638889,4,25.33,0.157915515,House,Male,Cash,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Nov
19,42236,820,Thursday,1,2.3,0.73125,5,35.17,0.142166619,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Aug
20,42274,927,Sunday,1,2.4,0.73125,5,20.12,0.248508946,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Sep
21,42300,1023,Friday,3,2,0.73125,3,22.08,0.135869565,Business,Male,Credit,Credit,Male,Angel,Garden City,43.633857,-116.24628,Oct
22,42303,1026,Monday,9,0.9,0.73125,5,32.64,0.153186275,Apartment,Male,Cash,Credit,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
23,42197,712,Sunday,6,1,0.730555556,6,29.9,0.200668896,Apartment,Male,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
24,42238,822,Saturday,2,1.7,0.730555556,0,22.08,0,Apartment,Male,-,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
25,42240,824,Monday,6,0.2,0.730555556,3,15.71,0.190961171,Apartment,Male,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
26,42253,906,Sunday,5,1.1,0.730555556,2,24.55,0.081466395,House,Male,Credit,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
27,42254,907,Monday,1,3,0.730555556,3,12.51,0.239808153,House,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Sep
28,42296,1019,Monday,5,1.5,0.730555556,0,27.98,0,Apartment,Female,-,Credit,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
29,42233,817,Monday,6,1,0.729861111,4,20.22,0.197823937,Apartment,Male,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
30,42251,904,Friday,8,8.1,0.729861111,6,18.9,0.317460317,House,Male,Credit,Credit,Male,Angel,Hidden Springs,43.723879,-116.255046,Sep
31,42275,928,Monday,3,2.7,0.729861111,0.21,21.79,0.009637448,Apartment,Female,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Sep
32,42218,802,Sunday,3,1.8,0.729166667,2,23.66,0.084530854,House,Male,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Aug
33,42273,926,Saturday,3,3,0.729166667,5,33.7,0.148367953,Apartment,Female,Credit,Credit,Male,Angel,Garden City,43.633857,-116.24628,Sep
34,42301,1024,Saturday,6,2.2,0.729166667,6.49,43.61,0.148819078,House,Female,Cash,Cash,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Oct
35,42203,718,Saturday,3,3.4,0.727777778,2.92,22.08,0.132246377,House,Female,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Jul
36,42275,928,Monday,3,2.3,0.727777778,5,27.88,0.179340029,House,Female,Credit,Credit,Male,Angel,Garden City,43.633857,-116.24628,Sep
37,42301,1024,Saturday,8,8.4,0.727777778,7,40.44,0.173095945,House,Female,Credit,Credit,Female,Sammie,Hidden Springs,43.723879,-116.255046,Oct
38,42245,829,Saturday,2,1.7,0.727083333,6.54,20.46,0.319648094,Apartment,Female,Cash,Cash,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
39,42246,830,Sunday,6,1.2,0.727083333,6,24.16,0.248344371,Apartment,Female,Cash,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
40,42224,808,Saturday,3,2.7,0.726388889,4,24.59,0.162667751,Apartment,Male,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Aug
41,42239,823,Sunday,9,0.4,0.726388889,3.69,26.31,0.140250855,Apartment,Male,Cash,Cash,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
42,42267,920,Sunday,6,1.3,0.726388889,5,23.13,0.216169477,House,Female,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
43,42286,1009,Friday,5,1.2,0.726388889,3,28.12,0.106685633,House,Male,Cash,Credit,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
44,42289,1012,Monday,6,0.8,0.726388889,0,14.65,0,Apartment,Male,-,Cash,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
45,42209,724,Friday,3,2.7,0.725694444,2.22,16.78,0.132300358,House,Male,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Jul
46,42233,817,Monday,6,0.9,0.725694444,4,21.76,0.183823529,House,Female,Cash,Cash,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
47,42238,822,Saturday,4,1.7,0.725694444,6.83,33.17,0.205908954,House,Female,Cash,Cash,Male,Angel,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Aug
48,42282,1005,Monday,2,1.2,0.725694444,5,32.67,0.153045608,House,Female,Credit,Credit,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
49,42293,1016,Friday,9,0.3,0.725694444,10,61.61,0.162311313,Apartment,Male,Credit,Credit,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
50,42211,726,Sunday,5,1,0.725,2.56,15.44,0.165803109,House,Male,Cash,Cash,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Jul
51,42213,728,Tuesday,7,3.1,0.725,4,23.65,0.169133192,House,Male,Credit,Credit,Male,Angel,West of Gary/Glennwood,43.672328,-116.286124,Jul
52,42218,802,Sunday,9,0.6,0.725,3,21.55,0.139211137,Apartment,Female,Credit,Credit,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
53,42266,919,Saturday,6,1.9,0.725,5,40.05,0.124843945,House,Female,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
54,42274,927,Sunday,1,1.8,0.725,3,21,0.142857143,House,Female,Cash,Cash,Male,Angel,North End,43.633105,-116.208304,Sep
55,42282,1005,Monday,1,2.9,0.725,4,36.9,0.108401084,House,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Oct
56,42293,1016,Friday,9,0.6,0.724305556,2,18.18,0.110011001,House,Female,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
57,42244,828,Friday,5,1.4,0.723611111,3.73,15.27,0.24426981,House,Male,Cash,Cash,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
58,42260,913,Sunday,8,7.7,0.723611111,6.56,28.44,0.230661041,House,Female,Cash,Cash,Female,Sammie,Hidden Springs,43.723879,-116.255046,Sep
59,42288,1011,Sunday,8,8.2,0.722916667,6,21.8,0.275229358,House,Male,Cash,Credit,Male,Angel,Hidden Springs,43.723879,-116.255046,Oct
60,42247,831,Monday,2,2.3,0.722222222,3.14,23.86,0.131601006,House,Male,Cash,Cash,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
